userId,movieId,rating,timestamp
122,318,5.0,1461561133
274,2498,2.0,1172031001
217,1598,3.0,955943105
606,2387,3.0,1171407089
460,44199,4.5,1359177695
336,1380,2.5,1120567995
181,257,4.0,845470321
477,2009,4.0,1200945202
390,44943,5.0,1250336077
572,1952,5.0,945889676
489,1227,4.5,1333656252
525,142997,3.5,1476478201
567,134246,0.5,1525289725
570,1219,3.0,1181478116
610,6250,3.0,1493845669
448,76175,1.0,1308418362
603,3018,4.0,953927858
198,1960,3.0,1034137504
480,1206,4.0,1179161220
604,611,5.0,832080591
76,1682,2.5,1439168248
419,57368,4.0,1322305212
318,53993,3.0,1432312423
603,2115,3.0,953928033
294,415,2.0,966596961
483,2115,4.0,1178293773
577,1253,4.0,945966760
535,2882,1.0,939028580
156,3076,3.0,946799749
274,2726,4.0,1226314584
45,2771,5.0,1007994972
352,38038,3.0,1493674438
483,97304,4.5,1415574346
610,3979,2.5,1493847839
28,5617,2.0,1234340430
477,4973,4.5,1200939429
4,1291,4.0,964538763
105,104913,4.0,1446572314
36,3798,3.0,1100803648
280,71823,3.5,1348436209
593,6776,4.0,1181008653
313,1097,2.0,1030474705
381,551,5.0,1200823958
415,2094,3.0,1382469618
323,1385,2.5,1422640664
460,1441,3.5,1359176091
596,71535,3.5,1535827216
381,6297,3.5,1168666075
42,2236,3.0,996218404
522,44199,4.5,1301727765
177,7078,4.0,1435539868
140,163,3.0,967048969
232,71838,4.0,1283133224
111,81591,3.5,1516140988
42,1500,5.0,996218348
386,318,3.0,842610228
64,1094,4.5,1161559675
152,7156,4.5,1450867724
551,45186,4.0,1504926175
9,371,3.0,1044656716
104,38038,5.0,1130609197
50,1682,2.5,1527370879
232,8360,3.0,1218167741
548,8531,4.0,1488825044
484,60684,3.0,1342296465
603,1150,4.0,953928000
21,98124,3.5,1418846981
448,104076,1.5,1402162552
121,163,4.0,847656374
104,709,3.0,1048589254
230,2081,2.0,1196305116
554,2028,5.0,944902327
249,1625,4.5,1410001745
448,117529,2.5,1462209122
362,637,1.5,1530644228
195,2423,5.0,1008558323
187,2858,4.0,1161849492
599,1952,2.5,1498532247
469,1253,3.0,965335350
7,1682,3.0,1106635653
21,1291,4.0,1417378089
305,1263,3.5,1516130793
551,117529,1.0,1504925998
20,4027,4.0,1054036290
483,104211,4.0,1415575712
39,1291,5.0,974789327
295,4973,4.5,1320064768
68,2719,3.0,1261624109
580,952,3.0,1167862027
351,6942,3.5,1326061771
566,457,4.0,849005206
414,8781,2.0,1216149551
380,76175,3.0,1493420902
415,4447,3.0,1382470424
608,663,3.0,1117503482
414,45499,3.5,1165418891
599,548,1.5,1519336998
517,106438,2.0,1487962947
111,48385,2.5,1516153506
608,42738,4.0,1147794430
246,7090,5.0,1354124560
339,7156,5.0,1460184180
160,748,4.0,971114546
226,2115,4.0,1095662972
212,71535,4.0,1490115086
307,2712,3.0,1186161789
210,56171,3.5,1527867678
247,74458,4.0,1467644253
474,25750,4.0,1238350199
4,1094,3.0,964538500
4,1500,4.0,964622830
308,318,1.0,1421373686
414,3127,2.0,975941018
275,1219,4.0,1049078012
608,3510,4.5,1117504865
307,4835,2.5,1186173494
290,3559,4.0,974938725
274,93,3.5,1172024378
23,2019,3.0,1107164361
448,7319,3.0,1145127030
363,122918,5.0,1502584592
590,4361,4.5,1258422872
600,810,1.5,1237760673
425,6942,3.5,1114173131
509,117529,3.5,1435996029
279,318,4.5,1506394183
232,53464,2.0,1218170607
177,362,4.0,1435535020
52,57368,5.0,1468051980
325,532,3.0,1039398295
105,8033,4.0,1446574118
89,1682,0.5,1520408338
474,48598,4.0,1180012345
6,493,3.0,845555172
186,4361,4.0,1031080604
